=== Knee/Ankle Issue Frames ===
총 문제 프레임: 489

{'frame': 25, 'left_knee_score': 0.04843585938215256, 'right_knee_score': 0.020849257707595825, 'knee_gap': 22.5316922532916, 'left_ankle_score': 0.03325743228197098, 'right_ankle_score': 0.028739675879478455, 'ankle_gap': 290.82487222871214}
{'frame': 26, 'left_knee_score': 0.053010955452919006, 'right_knee_score': 0.02360827475786209, 'knee_gap': 26.539573401698053, 'left_ankle_score': 0.038992974907159805, 'right_ankle_score': 0.024275949224829674, 'ankle_gap': 7.092095215882231}
{'frame': 27, 'left_knee_score': 0.05476967617869377, 'right_knee_score': 0.020292291417717934, 'knee_gap': 26.478878603644652, 'left_ankle_score': 0.03801705688238144, 'right_ankle_score': 0.0242619588971138, 'ankle_gap': 304.3018225286305}
{'frame': 28, 'left_knee_score': 0.050924062728881836, 'right_knee_score': 0.01817922107875347, 'knee_gap': 20.46396245164199, 'left_ankle_score': 0.035972632467746735, 'right_ankle_score': 0.03416338562965393, 'ankle_gap': 309.8775269620948}
{'frame': 29, 'left_knee_score': 0.053460873663425446, 'right_knee_score': 0.01587503030896187, 'knee_gap': 235.68360704362527, 'left_ankle_score': 0.035711437463760376, 'right_ankle_score': 0.032432422041893005, 'ankle_gap': 313.7304302645638}
{'frame': 30, 'left_knee_score': 0.05436490476131439, 'right_knee_score': 0.0132660623639822, 'knee_gap': 238.55319936871305, 'left_ankle_score': 0.038140952587127686, 'right_ankle_score': 0.024091416969895363, 'ankle_gap': 311.7283024690372}
{'frame': 31, 'left_knee_score': 0.05309608578681946, 'right_knee_score': 0.012833772227168083, 'knee_gap': 240.0982246777054, 'left_ankle_score': 0.03926520049571991, 'right_ankle_score': 0.02334478497505188, 'ankle_gap': 311.71381298358875}
{'frame': 32, 'left_knee_score': 0.052070047706365585, 'right_knee_score': 0.01424888614565134, 'knee_gap': 22.518725596238788, 'left_ankle_score': 0.03581782430410385, 'right_ankle_score': 0.022990992292761803, 'ankle_gap': 312.4001099701532}
{'frame': 33, 'left_knee_score': 0.05328714847564697, 'right_knee_score': 0.012536151334643364, 'knee_gap': 239.29881028965966, 'left_ankle_score': 0.03577766567468643, 'right_ankle_score': 0.025351431220769882, 'ankle_gap': 314.4515749104715}
{'frame': 34, 'left_knee_score': 0.051690712571144104, 'right_knee_score': 0.012511041946709156, 'knee_gap': 25.148761169230966, 'left_ankle_score': 0.03539741039276123, 'right_ankle_score': 0.0234127976000309, 'ankle_gap': 313.92707523888396}
{'frame': 35, 'left_knee_score': 0.05353071540594101, 'right_knee_score': 0.01716563105583191, 'knee_gap': 23.609680030351473, 'left_ankle_score': 0.03632685914635658, 'right_ankle_score': 0.027384506538510323, 'ankle_gap': 314.85699982367026}
{'frame': 36, 'left_knee_score': 0.05529205873608589, 'right_knee_score': 0.017026953399181366, 'knee_gap': 238.21482498094636, 'left_ankle_score': 0.03567720949649811, 'right_ankle_score': 0.02581382356584072, 'ankle_gap': 312.2281898834481}
{'frame': 37, 'left_knee_score': 0.05324442684650421, 'right_knee_score': 0.012785518541932106, 'knee_gap': 29.225860941717393, 'left_ankle_score': 0.03639925271272659, 'right_ankle_score': 0.01700235903263092, 'ankle_gap': 309.36971355789484}
{'frame': 38, 'left_knee_score': 0.050895482301712036, 'right_knee_score': 0.01874232292175293, 'knee_gap': 22.087229095577204, 'left_ankle_score': 0.0345141738653183, 'right_ankle_score': 0.026557277888059616, 'ankle_gap': 308.5784273240286}
{'frame': 39, 'left_knee_score': 0.05105812847614288, 'right_knee_score': 0.017718974500894547, 'knee_gap': 24.62565705398253, 'left_ankle_score': 0.03357221558690071, 'right_ankle_score': 0.021550532430410385, 'ankle_gap': 300.0315615581652}
{'frame': 40, 'left_knee_score': 0.050852954387664795, 'right_knee_score': 0.0189519040286541, 'knee_gap': 26.73124352139256, 'left_ankle_score': 0.03329136222600937, 'right_ankle_score': 0.025176875293254852, 'ankle_gap': 297.7268100958613}
{'frame': 41, 'left_knee_score': 0.05006474256515503, 'right_knee_score': 0.019924987107515335, 'knee_gap': 23.36601898935778, 'left_ankle_score': 0.032886285334825516, 'right_ankle_score': 0.026213301345705986, 'ankle_gap': 295.45220958822205}
{'frame': 42, 'left_knee_score': 0.051072441041469574, 'right_knee_score': 0.01675722748041153, 'knee_gap': 27.02649869756158, 'left_ankle_score': 0.03489704057574272, 'right_ankle_score': 0.031427860260009766, 'ankle_gap': 289.25401668441475}
{'frame': 43, 'left_knee_score': 0.05150480568408966, 'right_knee_score': 0.019691893830895424, 'knee_gap': 23.753898760102288, 'left_ankle_score': 0.0374113991856575, 'right_ankle_score': 0.02470969408750534, 'ankle_gap': 287.0102063667403}
{'frame': 44, 'left_knee_score': 0.048129960894584656, 'right_knee_score': 0.020449422299861908, 'knee_gap': 22.52021120030558, 'left_ankle_score': 0.03299707919359207, 'right_ankle_score': 0.02962389402091503, 'ankle_gap': 281.46406148592223}
{'frame': 45, 'left_knee_score': 0.049695469439029694, 'right_knee_score': 0.022029992192983627, 'knee_gap': 226.9871393725062, 'left_ankle_score': 0.03639751300215721, 'right_ankle_score': 0.033348292112350464, 'ankle_gap': 275.7324460361546}
